 55 1485 
11 42 17 
11 43 17 
11 44 0 
11 45 18 
11 46 19 
11 47 23 
11 48 10 
11 49 7 
11 50 14 
11 51 27 
11 52 8 
11 53 23 
11 54 7 
11 55 1 
12 13 20 
12 14 0 
12 15 18 
12 16 3 
12 17 24 
12 18 25 
12 19 0 
12 20 1 
12 21 24 
12 22 25 
12 23 16 
12 24 12 
12 25 10 
12 26 13 
12 27 25 
12 28 6 
12 29 26 
12 30 6 
12 31 27 
12 32 6 
12 33 7 
12 34 27 
12 35 21 
12 36 19 
12 37 21 
12 38 26 
12 39 2 
12 40 7 
12 41 2 
12 42 27 
12 43 6 
12 44 5 
12 45 11 
12 46 3 
12 47 9 
12 48 19 
12 49 5 
12 50 19 
12 51 22 
12 52 6 
12 53 5 
12 54 23 
12 55 12 
13 14 14 
13 15 4 
13 16 24 
13 17 22 
13 18 7 
13 19 29 
13 20 2 
13 21 23 
13 22 27 
13 23 23 
13 24 11 
13 25 25 
13 26 17 
13 27 18 
13 28 25 
13 29 8 
13 30 3 
13 31 2 
13 32 24 
13 33 1 
13 34 1 
13 35 15 
13 36 9 
13 37 5 
13 38 11 
13 39 20 
13 40 6 
13 41 14 
13 42 25 
13 43 13 
13 44 0 
13 45 28 
13 46 19 
13 47 21 
13 48 13 
13 49 14 
13 50 17 
13 51 14 
13 52 6 
13 53 13 
13 54 6 
13 55 25 
14 15 2 
14 16 18 
14 17 11 
14 18 0 
14 19 13 
14 20 21 
14 21 25 
14 22 15 
14 23 2 
14 24 2 
14 25 11 
14 26 7 
14 27 24 
14 28 8 
14 29 12 
14 30 23 
14 31 6 
14 32 13 
14 33 20 
14 34 13 
14 35 5 
14 36 2 
14 37 8 
14 38 10 
14 39 27 
14 40 22 
14 41 2 
14 42 5 
14 43 29 
14 44 11 
14 45 0 
14 46 28 
14 47 5 
14 48 10 
14 49 27 
14 50 9 
14 51 10 
14 52 25 
14 53 3 
14 54 24 
14 55 21 
15 16 10 
15 17 24 
15 18 8 
15 19 5 
15 20 29 
15 21 2 
15 22 15 
15 23 4 
15 24 1 
15 25 3 
15 26 19 
15 27 15 
15 28 28 
15 29 12 
15 30 27 
15 31 29 
15 32 6 
15 33 1 
15 34 7 
15 35 17 
15 36 21 
15 37 29 
15 38 10 
15 39 3 
15 40 14 
15 41 21 
15 42 17 
15 43 25 
15 44 13 
15 45 23 
15 46 22 
15 47 24 
15 48 21 
15 49 22 
15 50 9 
15 51 0 
15 52 28 
15 53 7 
15 54 4 
15 55 25 
16 17 6 
16 18 18 
16 19 10 
16 20 17 
16 21 27 
16 22 24 
16 23 23 
16 24 11 
16 25 13 
16 26 6 
16 27 23 
16 28 10 
16 29 1 
16 30 9 
16 31 0 
16 32 14 
16 33 12 
16 34 29 
16 35 3 
16 36 1 
16 37 14 
16 38 18 
16 39 22 
16 40 0 
16 41 5 
16 42 25 
16 43 9 
16 44 3 
16 45 22 
16 46 8 
16 47 27 
16 48 24 
16 49 28 
16 50 1 
16 51 14 
16 52 23 
16 53 5 
16 54 5 
16 55 2 
17 18 26 
17 19 18 
17 20 29 
17 21 22 
17 22 29 
17 23 5 
17 24 29 
17 25 14 
17 26 15 
17 27 0 
17 28 25 
17 29 8 
17 30 28 
17 31 0 
17 32 1 
17 33 3 
17 34 12 
17 35 22 
17 36 2 
17 37 7 
17 38 10 
17 39 3 
17 40 21 
17 41 3 
17 42 23 
17 43 17 
17 44 20 
17 45 29 
17 46 5 
17 47 15 
17 48 28 
17 49 3 
17 50 27 
17 51 18 
17 52 3 
17 53 7 
17 54 29 
17 55 3 
18 19 9 
18 20 1 
18 21 28 
18 22 2 
18 23 8 
18 24 20 
18 25 11 
18 26 18 
18 27 14 
18 28 8 
18 29 16 
18 30 0 
18 31 29 
18 32 3 
18 33 10 
18 34 0 
18 35 28 
18 36 7 
18 37 6 
18 38 23 
18 39 5 
18 40 6 
18 41 5 
18 42 18 
18 43 13 
18 44 9 
18 45 4 
18 46 28 
18 47 3 
18 48 29 
18 49 7 
18 50 16 
18 51 24 
18 52 15 
18 53 8 
18 54 26 
18 55 1 
19 20 25 
19 21 15 
19 22 11 
19 23 19 
19 24 16 
19 25 14 
19 26 5 
19 27 24 
19 28 2 
19 29 5 
19 30 3 
19 31 2 
19 32 26 
19 33 18 
19 34 22 
19 35 26 
19 36 26 
19 37 13 
19 38 9 
19 39 4 
19 40 15 
19 41 16 
19 42 22 
19 43 25 
19 44 3 
19 45 5 
19 46 16 
19 47 6 
19 48 11 
19 49 4 
19 50 24 
19 51 6 
19 52 22 
19 53 26 
19 54 28 
19 55 22 
20 21 5 
20 22 15 
20 23 21 
20 24 20 
20 25 21 
20 26 15 
20 27 1 
20 28 27 
20 29 16 
20 30 10 
20 31 0 
20 32 22 
20 33 4 
20 34 3 
20 35 3 
20 36 26 
20 37 12 
20 38 28 
20 39 2 
20 40 3 
20 41 24 
20 42 13 
20 43 14 
20 44 23 
20 45 6 
20 46 28 
20 47 24 
20 48 17 
20 49 13 
20 50 19 
20 51 28 
20 52 10 
20 53 20 
20 54 18 
20 55 28 
21 22 20 
21 23 5 
21 24 11 
21 25 24 
21 26 23 
21 27 16 
21 28 3 
21 29 29 
21 30 22 
21 31 21 
21 32 19 
21 33 18 
21 34 22 
21 35 3 
21 36 14 
21 37 0 
21 38 2 
21 39 23 
21 40 21 
21 41 19 
21 42 8 
21 43 9 
21 44 18 
21 45 29 
21 46 1 
21 47 3 
21 48 15 
21 49 1 
21 50 14 
21 51 2 
21 52 15 
21 53 23 
21 54 8 
21 55 9 
22 23 2 
22 24 28 
22 25 17 
22 26 20 
22 27 21 
22 28 24 
22 29 28 
22 30 1 
22 31 29 
22 32 13 
22 33 15 
22 34 9 
22 35 7 
22 36 9 
22 37 28 
22 38 0 
22 39 21 
22 40 14 
22 41 27 
22 42 15 
22 43 15 
22 44 15 
22 45 0 
22 46 9 
22 47 2 
22 48 8 
22 49 2 
22 50 4 
22 51 5 
22 52 10 
22 53 4 
22 54 24 
22 55 10 
23 24 25 
23 25 1 
23 26 1 
23 27 25 
23 28 29 
23 29 10 
23 30 8 
23 31 3 
23 32 8 
23 33 7 
23 34 12 
23 35 16 
23 36 9 
23 37 13 
23 38 18 
23 39 11 
23 40 10 
23 41 13 
23 42 3 
23 43 28 
23 44 14 
23 45 28 
23 46 0 
23 47 1 
23 48 25 
23 49 14 
23 50 21 
23 51 23 
23 52 7 
23 53 23 
23 54 15 
23 55 8 
24 25 5 
24 26 16 
24 27 29 
24 28 0 
24 29 18 
24 30 9 
24 31 13 
24 32 6 
24 33 20 
24 34 6 
24 35 9 
24 36 27 
24 37 28 
24 38 9 
24 39 4 
24 40 21 
24 41 5 
24 42 6 
24 43 6 
24 44 16 
24 45 6 
24 46 16 
24 47 17 
24 48 21 
24 49 14 
24 50 20 
24 51 16 
24 52 21 
24 53 22 
24 54 21 
24 55 4 
25 26 29 
25 27 15 
25 28 22 
25 29 23 
25 30 24 
25 31 1 
25 32 15 
25 33 22 
25 34 13 
25 35 21 
25 36 6 
25 37 28 
25 38 18 
25 39 22 
25 40 17 
25 41 7 
25 42 21 
25 43 22 
25 44 16 
25 45 20 
25 46 24 
25 47 19 
25 48 4 
25 49 6 
25 50 20 
25 51 23 
25 52 26 
25 53 22 
25 54 4 
25 55 25 
26 27 8 
26 28 8 
26 29 21 
26 30 2 
26 31 1 
26 32 24 
26 33 29 
26 34 8 
26 35 2 
26 36 4 
26 37 5 
26 38 2 
26 39 9 
26 40 9 
26 41 28 
26 42 23 
26 43 18 
26 44 6 
26 45 19 
26 46 8 
26 47 16 
26 48 16 
26 49 22 
26 50 23 
26 51 8 
26 52 22 
26 53 6 
26 54 2 
26 55 17 
27 28 25 
27 29 27 
27 30 28 
27 31 2 
27 32 27 
27 33 18 
27 34 20 
27 35 12 
27 36 20 
27 37 18 
27 38 9 
27 39 22 
27 40 18 
27 41 22 
27 42 0 
27 43 25 
27 44 15 
27 45 2 
27 46 27 
27 47 16 
27 48 7 
27 49 8 
27 50 7 
27 51 28 
27 52 21 
27 53 26 
27 54 20 
27 55 9 
28 29 5 
28 30 28 
28 31 19 
28 32 10 
28 33 20 
28 34 10 
28 35 27 
28 36 22 
28 37 5 
28 38 5 
28 39 12 
28 40 11 
28 41 14 
28 42 18 
28 43 16 
28 44 14 
28 45 6 
28 46 8 
28 47 9 
28 48 28 
28 49 3 
28 50 15 
28 51 5 
28 52 1 
28 53 25 
28 54 15 
28 55 8 
29 30 4 
29 31 0 
29 32 5 
29 33 14 
29 34 27 
29 35 12 
29 36 1 
29 37 14 
29 38 9 
29 39 9 
29 40 0 
29 41 3 
29 42 0 
29 43 23 
29 44 5 
29 45 20 
29 46 27 
29 47 16 
29 48 7 
29 49 18 
29 50 3 
29 51 16 
29 52 24 
29 53 24 
29 54 1 
29 55 29 
30 31 25 
30 32 15 
30 33 17 
30 34 14 
30 35 17 
30 36 13 
30 37 14 
30 38 10 
30 39 18 
30 40 28 
30 41 21 
30 42 5 
30 43 2 
30 44 13 
30 45 2 
30 46 4 
30 47 6 
30 48 6 
30 49 16 
30 50 12 
30 51 9 
30 52 0 
30 53 14 
30 54 9 
30 55 13 
31 32 1 
31 33 21 
31 34 9 
31 35 19 
31 36 15 
31 37 25 
31 38 25 
31 39 16 
31 40 10 
31 41 25 
31 42 29 
31 43 24 
31 44 16 
31 45 3 
31 46 24 
31 47 9 
31 48 0 
31 49 15 
31 50 3 
31 51 19 
31 52 21 
31 53 2 
31 54 28 
31 55 28 
32 33 21 
32 34 18 
32 35 16 
32 36 10 
32 37 12 
32 38 24 
32 39 19 
32 40 10 
32 41 2 
32 42 12 
32 43 11 
32 44 15 
32 45 4 
32 46 4 
32 47 14 
32 48 22 
32 49 25 
32 50 20 
32 51 24 
32 52 12 
32 53 1 
32 54 22 
32 55 17 
33 34 7 
33 35 9 
33 36 15 
33 37 15 
33 38 24 
33 39 0 
33 40 23 
33 41 4 
33 42 21 
33 43 22 
33 44 2 
33 45 9 
33 46 18 
33 47 2 
33 48 12 
33 49 27 
33 50 18 
33 51 5 
33 52 18 
33 53 3 
33 54 29 
33 55 4 
34 35 14 
34 36 26 
34 37 29 
34 38 28 
34 39 5 
34 40 16 
34 41 6 
34 42 10 
34 43 27 
34 44 22 
34 45 7 
34 46 2 
34 47 16 
34 48 14 
34 49 27 
34 50 11 
34 51 13 
34 52 2 
34 53 21 
34 54 6 
34 55 23 
35 36 8 
35 37 3 
35 38 12 
35 39 28 
35 40 16 
35 41 10 
35 42 1 
35 43 22 
35 44 6 
35 45 20 
35 46 15 
35 47 4 
35 48 6 
35 49 27 
35 50 9 
35 51 3 
35 52 4 
35 53 17 
35 54 18 
35 55 18 
36 37 1 
36 38 6 
36 39 13 
36 40 28 
36 41 17 
36 42 26 
36 43 1 
36 44 17 
36 45 2 
36 46 13 
36 47 17 
36 48 8 
36 49 25 
36 50 28 
36 51 15 
36 52 28 
36 53 27 
36 54 13 
36 55 13 
37 38 1 
37 39 0 
37 40 18 
37 41 11 
37 42 10 
37 43 9 
37 44 2 
37 45 14 
37 46 29 
37 47 21 
37 48 15 
37 49 17 
37 50 13 
37 51 23 
37 52 4 
37 53 2 
37 54 2 
37 55 0 
38 39 1 
38 40 2 
38 41 17 
38 42 17 
38 43 0 
38 44 12 
38 45 24 
38 46 1 
38 47 0 
38 48 3 
38 49 17 
38 50 13 
38 51 19 
38 52 5 
38 53 9 
38 54 17 
38 55 12 
39 40 20 
39 41 12 
39 42 18 
39 43 6 
39 44 7 
39 45 20 
39 46 8 
39 47 11 
39 48 8 
39 49 13 
39 50 20 
39 51 13 
39 52 16 
39 53 12 
39 54 0 
39 55 2 
40 41 18 
40 42 14 
40 43 21 
40 44 18 
40 45 23 
40 46 17 
40 47 25 
40 48 18 
40 49 21 
40 50 17 
40 51 10 
40 52 24 
40 53 28 
40 54 18 
40 55 21 
41 42 23 
41 43 26 
41 44 17 
41 45 28 
41 46 19 
41 47 25 
41 48 5 
41 49 5 
41 50 26 
41 51 6 
41 52 3 
41 53 20 
41 54 10 
41 55 8 
42 43 18 
42 44 2 
42 45 13 
42 46 20 
42 47 16 
42 48 25 
42 49 10 
42 50 19 
42 51 17 
42 52 22 
42 53 2 
42 54 8 
42 55 12 
43 44 29 
43 45 14 
43 46 14 
43 47 8 
43 48 12 
43 49 7 
43 50 2 
43 51 25 
43 52 8 
43 53 24 
43 54 17 
43 55 23 
44 45 19 
44 46 25 
44 47 21 
44 48 9 
44 49 20 
44 50 12 
44 51 18 
44 52 13 
44 53 21 
44 54 24 
44 55 13 
45 46 11 
45 47 20 
45 48 24 
45 49 0 
45 50 17 
45 51 29 
45 52 20 
45 53 18 
45 54 1 
45 55 24 
46 47 10 
46 48 17 
46 49 29 
46 50 25 
46 51 23 
46 52 18 
46 53 22 
46 54 13 
46 55 22 
47 48 21 
47 49 0 
47 50 24 
47 51 10 
47 52 27 
47 53 25 
47 54 19 
47 55 10 
48 49 25 
48 50 21 
48 51 12 
48 52 10 
48 53 19 
48 54 8 
48 55 9 
49 50 11 
49 51 7 
49 52 13 
49 53 3 
49 54 0 
49 55 17 
50 51 26 
50 52 16 
50 53 20 
50 54 12 
50 55 18 
51 52 29 
51 53 18 
51 54 29 
51 55 9 
52 53 29 
52 54 24 
52 55 12 
53 54 0 
53 55 8 
54 55 7 
